Timestamp,AQI,Location,PM2.5,CO,Pollution Avoided (Cigarettes)
SUMMARY,Usage: 0h 0m,Total Avoided: 0.09,,,

2026-05-12 13:29:37,57,"HSR Layout, Bengaluru",35,0.15,0.0009
2026-05-12 13:29:25,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:29:13,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:29:00,57,"HSR Layout, Bengaluru",35,0.15,0.0009
2026-05-12 13:28:48,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:28:36,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:28:24,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:28:12,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:28:00,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:27:49,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:27:36,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:27:24,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:27:12,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:27:00,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:26:48,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:26:38,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:26:24,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:26:12,51,"HSR Layout, Bengaluru",31,0.15,0.0008
2026-05-12 13:26:01,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:25:49,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:25:37,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:25:25,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:25:14,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:25:00,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:24:48,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:24:36,52,"HSR Layout, Bengaluru",32,0.15,0.0008
2026-05-12 13:24:24,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:24:12,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:24:00,56,"HSR Layout, Bengaluru",34,0.15,0.0009
2026-05-12 13:23:48,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:23:36,51,"HSR Layout, Bengaluru",31,0.15,0.0008
2026-05-12 13:23:24,54,"HSR Layout, Bengaluru",33,0.15,0.0009
2026-05-12 13:23:12,57,"HSR Layout, Bengaluru",35,0.15,0.0009
2026-05-12 13:23:00,57,"HSR Layout, Bengaluru",35,0.15,0.0009
2026-05-12 13:22:48,57,"HSR Layout, Bengaluru",35,0.15,0.0009
2026-05-12 13:22:37,57,"HSR Layout, Bengaluru",35,0.15,0.0009
2026-05-12 13:22:24,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:22:12,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:22:00,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:21:48,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:21:36,52,"HSR Layout, Bengaluru",32,0.16,0.0008
2026-05-12 13:21:24,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:21:12,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:21:00,52,"HSR Layout, Bengaluru",32,0.16,0.0008
2026-05-12 13:20:48,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:20:36,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:20:24,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:20:12,52,"HSR Layout, Bengaluru",32,0.16,0.0008
2026-05-12 13:20:00,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:19:48,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:19:36,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:19:25,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:19:13,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:19:01,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:18:49,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:18:37,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:18:25,52,"HSR Layout, Bengaluru",32,0.16,0.0008
2026-05-12 13:18:13,54,"HSR Layout, Bengaluru",33,0.16,0.0009
2026-05-12 13:18:01,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:17:48,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:17:36,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:25,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:25,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:25,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:25,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:25,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:13,57,"HSR Layout, Bengaluru",35,0.16,0.0009
2026-05-12 13:17:01,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:16:49,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:16:37,56,"HSR Layout, Bengaluru",34,0.16,0.0009
2026-05-12 13:16:25,57,"HSR Layout, Bengaluru",35,0.17,0.0009
2026-05-12 13:16:12,57,"HSR Layout, Bengaluru",35,0.17,0.0009
2026-05-12 13:16:01,57,"HSR Layout, Bengaluru",35,0.17,0.0009
2026-05-12 13:15:49,57,"HSR Layout, Bengaluru",35,0.17,0.0009
2026-05-12 13:15:37,61,"HSR Layout, Bengaluru",37,0.17,0.0010
2026-05-12 13:15:25,64,"HSR Layout, Bengaluru",39,0.17,0.0011
2026-05-12 13:15:13,64,"HSR Layout, Bengaluru",39,0.17,0.0011
2026-05-12 13:15:01,62,"HSR Layout, Bengaluru",38,0.17,0.0011
2026-05-12 13:14:49,67,"HSR Layout, Bengaluru",41,0.17,0.0012
2026-05-12 13:14:37,66,"HSR Layout, Bengaluru",40,0.17,0.0011
2026-05-12 13:14:25,66,"HSR Layout, Bengaluru",40,0.17,0.0011
2026-05-12 13:14:13,66,"HSR Layout, Bengaluru",40,0.17,0.0011
2026-05-12 13:14:01,66,"HSR Layout, Bengaluru",40,0.17,0.0011
2026-05-12 13:13:49,59,"HSR Layout, Bengaluru",36,0.17,0.0010
2026-05-12 13:13:37,50,"HSR Layout, Bengaluru",30,0.17,0.0008
2026-05-12 13:13:28,37,"HSR Layout, Bengaluru",14,0.18,0.0002
2026-05-12 13:13:16,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:13:04,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:53,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:41,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:30,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:20,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:18,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:18,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:12:06,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:11:54,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:11:42,37,"HSR Layout, Bengaluru",0,0.18,0.0000
2026-05-12 13:11:28,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:11:18,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:11:06,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:10:52,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:10:42,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:10:29,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:10:18,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:10:06,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:09:52,36,"HSR Layout, Bengaluru",0,0.17,0.0000
2026-05-12 13:09:40,36,"HSR Layout, Bengaluru",0,0.17,0.0000
