Timestamp,AQI,Location,PM2.5,CO,Pollution Avoided (Cigarettes)
SUMMARY,Usage: 0h 0m,Total Avoided: 4.02,,,

2026-04-24 17:14:00,64,"HSR Layout, Bengaluru",39,0.18,0.0015
2026-04-24 17:13:48,67,"HSR Layout, Bengaluru",41,0.18,0.0016
2026-04-24 17:13:35,71,"HSR Layout, Bengaluru",43,0.18,0.0016
2026-04-24 17:13:23,66,"HSR Layout, Bengaluru",40,0.18,0.0015
2026-04-24 17:13:16,56,"HSR Layout, Bengaluru",34,0.18,0.0013
2026-04-24 17:13:04,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:12:52,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:12:40,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:12:28,59,"HSR Layout, Bengaluru",36,0.18,0.0014
2026-04-24 17:12:16,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:12:04,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:11:52,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:11:40,56,"HSR Layout, Bengaluru",34,0.18,0.0013
2026-04-24 17:11:28,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:11:16,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:11:04,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:10:16,57,"HSR Layout, Bengaluru",35,0.18,0.0013
2026-04-24 17:10:04,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:09:52,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:09:40,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:09:28,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:09:16,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:09:04,54,"HSR Layout, Bengaluru",33,0.17,0.0013
2026-04-24 17:08:52,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:08:40,54,"HSR Layout, Bengaluru",33,0.17,0.0013
2026-04-24 17:08:28,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:08:16,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:08:04,62,"HSR Layout, Bengaluru",38,0.18,0.0014
2026-04-24 17:07:52,62,"HSR Layout, Bengaluru",38,0.18,0.0014
2026-04-24 17:07:42,72,"HSR Layout, Bengaluru",44,0.18,0.0017
2026-04-24 17:07:30,81,"HSR Layout, Bengaluru",49,0.18,0.0019
2026-04-24 17:07:24,69,"HSR Layout, Bengaluru",42,0.18,0.0016
2026-04-24 17:07:14,59,"HSR Layout, Bengaluru",36,0.18,0.0014
2026-04-24 17:07:02,59,"HSR Layout, Bengaluru",36,0.17,0.0014
2026-04-24 17:06:50,59,"HSR Layout, Bengaluru",36,0.17,0.0014
2026-04-24 17:06:38,59,"HSR Layout, Bengaluru",36,0.17,0.0014
2026-04-24 17:06:26,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:06:14,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:06:02,59,"HSR Layout, Bengaluru",36,0.17,0.0014
2026-04-24 17:05:50,61,"HSR Layout, Bengaluru",37,0.17,0.0014
2026-04-24 17:05:38,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:05:26,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:05:14,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:05:02,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:04:50,56,"HSR Layout, Bengaluru",34,0.17,0.0013
2026-04-24 17:04:38,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:04:26,57,"HSR Layout, Bengaluru",35,0.17,0.0013
2026-04-24 17:04:14,56,"HSR Layout, Bengaluru",34,0.17,0.0013
